Stephen,Curry,sc@gmail.com,918123123,Los Angeles,F
Kyrie,Erving,ke@gmail.com,916989989,Ohio,F
Lebron,James,bron@gmail.com,916189989,Ohio,F
Kevin,Durant,kd@gmail.com,916289989,GSW,F
Russel,Westbrook,rw@gmail.com,916389989,OKC,F
Robert,Jaworski,rj@gmail.com,916489989,Manila,F
Ramon,Fernandez,rf@gmail.com,916589989,Cebu,F
Arwind,Santos,as@gmail.com,916589989,Pampanga,F
Junmar,Fajardo,jf@gmail.com,916589989,Cebu,F
Bobby,Parks,jf@gmail.com,916589989,Cebu,F
Benjie,Paras,jf@gmail.com,916589989,Cebu,F
Abby,Vasquez,jf@gmail.com,916589989,Cebu,F
Ralph,Bisco,jf@gmail.com,916589989,Cebu,F
Miguel,Bernal,jf@gmail.com,916589989,Cebu,F
